date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:09:36	691/691	---M--	200	added ('OK')	image/png	etag:%222b3-56888ef93b670%22	https://sweep.city/wp-content/plugins/js_composer/assets/images/icons/balloon-facebook.png	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/plugins/js_composer/assets/images/icons/balloon-facebook.png	(from https://sweep.city/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.4.7)
11:09:36	700/700	---M--	200	added ('OK')	image/png	etag:%222bc-56888ef93b670%22	https://sweep.city/wp-content/plugins/js_composer/assets/images/icons/balloon-twitter.png	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/plugins/js_composer/assets/images/icons/balloon-twitter.png	(from https://sweep.city/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.4.7)
11:09:36	648/648	---M--	200	added ('OK')	image/png	etag:%22288-56888ef9479c1%22	https://sweep.city/wp-content/plugins/js_composer/assets/images/icons/battery-full.png	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/plugins/js_composer/assets/images/icons/battery-full.png	(from https://sweep.city/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.4.7)
11:09:36	621/621	---M--	200	added ('OK')	image/png	etag:%2226d-56888ef953d13%22	https://sweep.city/wp-content/plugins/js_composer/assets/images/icons/binocular.png	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/plugins/js_composer/assets/images/icons/binocular.png	(from https://sweep.city/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.4.7)
11:09:37	688/688	---M--	200	added ('OK')	image/png	etag:%222b0-56888ef953d13%22	https://sweep.city/wp-content/plugins/js_composer/assets/images/icons/blue-document-excel.png	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/plugins/js_composer/assets/images/icons/blue-document-excel.png	(from https://sweep.city/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.4.7)
11:09:37	700/700	---M--	200	added ('OK')	image/png	etag:%222bc-56888ef960064%22	https://sweep.city/wp-content/plugins/js_composer/assets/images/icons/blue-document-image.png	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/plugins/js_composer/assets/images/icons/blue-document-image.png	(from https://sweep.city/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.4.7)
11:09:37	647/647	---M--	200	added ('OK')	image/png	etag:%22287-56888ef960064%22	https://sweep.city/wp-content/plugins/js_composer/assets/images/icons/blue-document-music.png	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/plugins/js_composer/assets/images/icons/blue-document-music.png	(from https://sweep.city/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.4.7)
11:09:37	763/763	---M--	200	added ('OK')	image/png	etag:%222fb-56888ef96c3b5%22	https://sweep.city/wp-content/plugins/js_composer/assets/images/icons/blue-document-office.png	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/plugins/js_composer/assets/images/icons/blue-document-office.png	(from https://sweep.city/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.4.7)
11:09:37	690/690	---M--	200	added ('OK')	image/png	etag:%222b2-56888ef96c3b5%22	https://sweep.city/wp-content/plugins/js_composer/assets/images/icons/blue-document-pdf.png	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/plugins/js_composer/assets/images/icons/blue-document-pdf.png	(from https://sweep.city/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.4.7)
11:09:38	709/709	---M--	200	added ('OK')	image/png	etag:%222c5-56888ef978706%22	https://sweep.city/wp-content/plugins/js_composer/assets/images/icons/blue-document-powerpoint.png	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/plugins/js_composer/assets/images/icons/blue-document-powerpoint.png	(from https://sweep.city/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.4.7)
